										입시결과 역환산 산출내역																				
자연 누적   (추정치)		의대감원			26수능 표준점수	대학	학과	계열	모집인원	대학별		반영방법			반영비율			백분위	표준점수			변표	등급 점수						가산점	비고
		영향	계열   	계열						환산점수 /	만점	국.수	탐구		국	수	탐	국.수.탐	국어	수학	탐구	탐구	영어	점수	한국사	점수	제2외국	점수	미기,과탐	
  (%)	 (명)	(명)	백분위	표준점수																										
1.70	3,689	-284 	97.74	399.13	401.56	동신대	한의예	자연	11	996.38 / 	1000	백분위	백분위	1과목	25	25	20	97.74	132.77	132.38	66.99		1등급	200	만점	100	만점	0	12.218	 미/기 5%
1.69	3,667	-568 	97.74	399.18	402.22	서강대	시스템반도체공학과	자연	10	511.68 / 	600	표점	변표	2과목	37	43	20	97.74	132.77	132.42	66.99	69.33	1등급	100	만점	10	만점	0	0.3	 과탐Ⅱ0.3점 가산
1.70	3,689	-427 	97.74	399.12	401.84	서울대	화학생물공학부	자연	27	401.8 / 	600	표점	표점	2과목	33	40	27	97.74	132.77	132.37	66.99		1등급	0	만점	0	만점	0	3	 과탐Ⅱ3점 가산
1.71	3,711	-427 	97.73	399.03	401.77	서울대	첨단융합학부	자연	54	401.7 / 	600	표점	표점	2과목	33	40	27	97.73	132.76	132.30	66.99		1등급	0	만점	0	만점	0	3	 과탐Ⅱ3점 가산
1.73	3,754	-569 	97.72	398.90	402.00	고신대	의예(지역)	자연	8	667.5 / 	1000	표점	표점	2과목	20	30	20	97.72	132.74	132.20	66.98		1등급	202.5	만점	0	만점	0	0	
1.74	3,776	-428 	97.72	398.86	401.66	서울대	생명과학부	자연	21	401.5 / 	600	표점	표점	2과목	33	40	27	97.72	132.74	132.17	66.98		1등급	0	만점	0	만점	0	3	 과탐Ⅱ3점 가산
1.74	3,776	-429 	97.72	398.86	401.67	서울대	물리·천문학부 천문학전공	자연	5	401.5 / 	600	표점	표점	2과목	33	40	27	97.72	132.74	132.17	66.98		1등급	0	만점	0	만점	0	3	 물리/화학 필수, 과탐Ⅱ3점 가산
1.77	3,841	-576 	97.7	398.63	401.79	충남대	의예과(지역)	자연	34	199.13 / 	300	표점	표점	2과목	25	45	30	97.7	132.71	132.00	66.96		1등급	0	만점	0	만점	0	0	
1.79	3,884	-491 	97.68	398.56	401.57	부산대	약학부	자연	12	741.5 / 	1000	표점	표점	2과목	20	30	30	97.68	132.69	131.98	66.95		1등급	200	만점	10	만점	0	0	
1.80	3,906	-578 	97.67	398.51	401.70	조선대	약학	자연	10	796 / 	800	백분위	백분위	1과목	25	35	15	97.67	132.67	131.96	66.94		1등급	200	만점	10	만점	0	0	
1.80	3,906	-290 	97.67	398.51	401.25	조선대	의예(지역)	자연	28	796 / 	800	백분위	백분위	1과목	25	35	15	97.67	132.67	131.96	66.94		1등급	200	만점	10	만점	0	0	
1.80	3,906	-580 	97.67	398.51	401.71	계명대	의예	자연	21	398 / 	400	백분위	백분위	2과목	25	25	25	97.67	132.67	131.96	66.94		1등급	100	만점	5	만점	0	0	70%컷 99.5점/100만점 
